sku_id,fc,date,hour_of_day,episode_id,decision_id,apply_discount_pct,apply_price,is_exploration,rejected
15379100,BUC2,2026-08-29,11,15379100|BUC2|2026-08-29T10,dec-15379100|BUC2|2026-08-29T11,15.0,9333.0,True,
15154237,GWJ2,2026-08-29,11,15154237|GWJ2|2026-08-29T10,dec-15154237|GWJ2|2026-08-29T11,37.5,3662.5,True,
15623739,BUC2,2026-08-29,11,15623739|BUC2|2026-08-29T10,dec-15623739|BUC2|2026-08-29T11,20.0,13760.0,True,
15632320,BUC2,2026-08-29,11,15632320|BUC2|2026-08-29T10,dec-15632320|BUC2|2026-08-29T11,15.0,16481.5,True,
15207946,GWJ2,2026-08-29,11,15207946|GWJ2|2026-08-29T10,dec-15207946|GWJ2|2026-08-29T11,15.0,13812.5,True,
15110429,GWJ2,2026-08-29,11,15110429|GWJ2|2026-08-29T10,dec-15110429|GWJ2|2026-08-29T11,22.5,7447.75,True,
15266024,BUC2,2026-08-29,11,15266024|BUC2|2026-08-29T10,dec-15266024|BUC2|2026-08-29T11,22.5,19561.0,True,
15622275,GWJ2,2026-08-29,11,15622275|GWJ2|2026-08-29T10,dec-15622275|GWJ2|2026-08-29T11,32.5,4961.25,True,
15622275,BSN1,2026-08-29,11,15622275|BSN1|2026-08-29T10,dec-15622275|BSN1|2026-08-29T11,17.5,6063.75,True,
15841610,ICN3,2026-08-29,11,15841610|ICN3|2026-08-29T10,dec-15841610|ICN3|2026-08-29T11,15.0,24259.0,True,
15092411,ICN3,2026-08-29,11,15092411|ICN3|2026-08-29T10,dec-15092411|ICN3|2026-08-29T11,35.0,2886.0,True,
15834465,DAJ1,2026-08-29,11,15834465|DAJ1|2026-08-29T10,dec-15834465|DAJ1|2026-08-29T11,10.0,6336.0,True,
